month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep_m,act_dep_m,sch_arr_m,temp,dew,hum,wind,w_spd,gust,pres,cond,sch_dep,sch_arr,TAXI_OUT
11,1,4,4,55,-3,211,2586,420,417,631,53,51,93,SSW,8,0,29.9,Mostly Cloudy,18,23,19
11,1,4,3,55,-1,218,2586,425,424,643,53,51,93,SSW,8,0,29.9,Mostly Cloudy,37,24,15
11,1,4,4,55,-5,225,2586,495,490,720,57,55,93,SW,8,0,29.91,Partly Cloudy,47,20,18
11,1,4,3,55,-8,226,2586,540,532,766,59,55,87,SW,8,0,29.91,Mostly Cloudy,47,20,12
11,1,4,4,55,-4,215,2586,570,566,785,59,55,87,SW,8,0,29.91,Mostly Cloudy,38,23,23
11,1,4,3,55,-5,217,2586,685,680,902,64,56,75,S,7,0,29.87,Partly Cloudy,37,10,16
11,1,4,4,55,-4,210,2586,705,701,915,64,56,75,S,7,0,29.87,Partly Cloudy,37,10,16
11,1,4,4,55,1,223,2586,950,951,1173,62,59,90,SSW,7,0,29.84,Cloudy,32,30,37
11,1,4,3,55,-5,227,2586,960,955,1187,62,59,90,SSW,7,0,29.84,Cloudy,32,30,35
11,1,4,4,55,-2,241,2586,1165,1163,1406,61,60,97,S,16,0,29.83,Cloudy,52,28,33
11,1,4,3,55,0,231,2586,1200,1200,1431,61,60,97,S,16,0,29.83,Cloudy,22,43,55
11,1,4,3,55,-4,215,2586,1309,1305,84,60,60,10,S,16,0,29.82,Cloudy,36,27,25
11,2,5,4,55,7,211,2586,420,427,631,63,63,10,S,21,0,29.71,Cloudy / Windy,37,27,22
11,2,5,3,55,56,218,2586,425,481,643,63,63,10,S,22,29,29.71,Light Rain / Windy,49,19,45
11,2,5,4,55,-4,225,2586,495,491,720,63,63,10,S,22,29,29.71,Light Rain / Windy,49,19,29
11,2,5,3,55,-1,226,2586,540,539,766,64,63,96,S,21,0,29.72,Cloudy / Windy,49,19,34
11,2,5,4,55,12,215,2586,570,582,785,64,63,96,S,22,29,29.71,Cloudy / Windy,40,25,35
11,2,5,3,55,-8,217,2586,685,677,902,65,64,97,S,18,0,29.72,Cloudy,35,12,10
11,2,5,4,55,-4,210,2586,705,701,915,65,64,97,S,22,29,29.72,Mostly Cloudy / Windy,35,12,20
11,2,5,4,55,-5,223,2586,950,945,1173,62,62,10,S,21,0,29.7,Fog / Windy,32,29,36
11,2,5,3,55,-6,227,2586,960,954,1187,62,62,10,S,21,0,29.7,Fog / Windy,32,29,34
11,2,5,4,55,34,241,2586,1165,1199,1406,62,62,10,S,18,28,29.72,Fog,50,29,34
11,2,5,3,55,15,231,2586,1200,1215,1431,62,62,10,S,18,28,29.72,Fog,23,40,40
