month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,cond,sch_dep,sch_arr,arr_del,j_del
11,1,4,3,29,-3,19,211,2586,420,417,436,631,615,67,59,76,N,3,0,30.15,Mostly Cloudy,18,23,-3,0
11,1,4,2,29,-1,15,218,2586,425,424,439,643,629,67,59,76,N,3,0,30.15,Mostly Cloudy,37,24,-41,-40
11,1,4,3,29,-5,18,225,2586,495,490,508,720,702,67,59,76,N,3,0,30.14,Mostly Cloudy,47,20,-23,-18
11,1,4,2,29,-8,12,226,2586,540,532,544,766,745,76,52,43,CALM,0,0,30.12,Mostly Cloudy,47,20,-54,-46
11,1,4,3,29,-4,23,215,2586,570,566,589,785,768,76,52,43,CALM,0,0,30.12,Mostly Cloudy,38,23,-35,-31
11,1,4,2,29,-5,16,217,2586,685,680,696,902,884,82,50,33,CALM,0,0,30.07,Mostly Cloudy,37,10,-46,-41
11,1,4,3,29,-4,16,210,2586,705,701,717,915,898,79,51,38,CALM,0,0,30.06,Mostly Cloudy,37,10,-29,-25
11,1,4,3,29,1,37,223,2586,950,951,988,1173,1161,68,48,49,W,14,0,30.08,Partly Cloudy,32,30,-3,-4
11,1,4,2,29,-5,35,227,2586,960,955,990,1187,1169,68,48,49,W,14,0,30.08,Partly Cloudy,32,30,-21,-16
11,1,4,3,29,-2,33,241,2586,1165,1163,1196,1406,1391,65,50,58,W,6,0,30.12,Fair,52,28,-26,-24
11,1,4,2,29,0,55,231,2586,1200,1200,1255,1431,1418,65,50,58,W,6,0,30.12,Fair,22,43,-2,-2
11,2,5,2,29,-4,25,215,2586,1309,1305,1330,84,67,59,46,62,W,3,0,30.09,Partly Cloudy,36,27,-25,-21
11,2,5,3,29,7,22,211,2586,420,427,449,631,625,64,56,75,E,5,0,30.14,Partly Cloudy,37,27,-9,-16
11,2,5,2,29,56,45,218,2586,425,481,526,643,686,67,57,70,N,6,0,30.14,Partly Cloudy,49,19,74,18
11,2,5,3,29,-4,29,225,2586,495,491,520,720,703,68,54,61,WNW,13,0,30.15,Partly Cloudy,49,19,-5,-1
11,2,5,2,29,-1,34,226,2586,540,539,573,766,752,72,54,53,NW,7,0,30.13,Partly Cloudy,49,19,-2,-1
11,2,5,3,29,12,35,215,2586,570,582,617,785,784,68,53,59,WNW,18,0,30.11,Partly Cloudy,40,25,5,-7
11,2,5,2,29,-8,10,217,2586,685,677,687,902,881,73,52,48,W,15,0,30.07,Mostly Cloudy,35,12,-33,-25
11,2,5,3,29,-4,20,210,2586,705,701,721,915,898,70,53,55,WNW,17,0,30.06,Mostly Cloudy,35,12,-12,-8
11,2,5,3,29,-5,36,223,2586,950,945,981,1173,1155,61,51,70,WNW,14,0,30.06,Mostly Cloudy,32,29,5,10
11,2,5,2,29,-6,34,227,2586,960,954,988,1187,1168,61,51,70,WNW,14,0,30.06,Mostly Cloudy,32,29,5,11
11,2,5,3,29,34,34,241,2586,1165,1199,1233,1406,1427,62,52,70,NW,6,0,30.09,Fair,50,29,-8,-42
11,2,5,2,29,15,40,231,2586,1200,1215,1255,1431,1433,62,52,70,NW,6,0,30.09,Fair,23,40,-5,-20
11,3,6,2,29,-1,76,215,2586,1309,1308,1384,84,70,59,52,78,W,9,0,30.12,Fair,35,30,26,27
11,3,6,3,29,1,22,218,2586,495,496,518,713,701,69,53,57,NNE,3,0,30.11,Fair,43,12,-19,-20
11,3,6,2,29,-7,34,226,2586,540,533,567,766,746,69,57,65,E,5,0,30.08,Partly Cloudy,43,12,-37,-30
11,3,6,2,29,-9,16,217,2586,685,676,692,902,880,78,46,32,W,13,0,30.04,Mostly Cloudy,31,10,-45,-36
11,3,6,3,29,-5,16,205,2586,705,700,716,910,892,78,46,32,W,13,0,30.04,Mostly Cloudy,31,10,-22,-17
