Date,Departure,Arrival,Origin,I/D
26.3,21:00,23:32,Atlanta,0
26.3,21:00,23:32,Atlanta,0
26.3,21:00,23:32,Atlanta,0
26.3,21:00,23:32,Atlanta,0
26.3,22:30,23:34,Salt Lake City,0
26.3,22:30,23:34,Salt Lake City,0
26.3,22:30,23:34,Salt Lake City,0
26.3,20:30,00:02,Fort Lauderdale,0
26.3,20:30,00:02,Fort Lauderdale,0
26.3,22:10,00:07,Denver,0
26.3,23:00,00:30,Los Angeles,0
26.3,21:10,00:44,Miami,0
26.3,21:10,00:44,Miami,0
26.3,00:34,01:47,Wilmington,0
26.3,00:20,01:55,Los Angeles,0
26.3,02:54,05:12,Memphis,0
26.3,04:50,05:53,Los Angeles,0
26.3,03:30,06:00,Delhi,1
26.3,23:55,06:00,Tel Aviv-Yafo,1
26.3,13:10,06:05,Tokyo,0
26.3,04:00,07:00,Delhi,1
26.3,21:00,23:32,Atlanta,0
26.3,21:00,23:32,Atlanta,0
26.3,21:00,23:32,Atlanta,0
26.3,21:00,23:32,Atlanta,0
26.3,23:00,00:30,Los Angeles,0
26.3,02:54,05:12,Memphis,0
26.3,04:50,05:53,Los Angeles,0
26.3,03:30,06:00,Delhi,1
26.3,23:55,06:00,Tel Aviv-Yafo,1
26.3,13:10,06:05,Tokyo,0
26.3,22:15,06:17,Kailua-Kona,0
26.3,22:15,06:17,Kailua-Kona,0
26.3,22:15,06:17,Kailua-Kona,0
26.3,22:40,06:27,Kahului,0
26.3,22:40,06:27,Kahului,0
26.3,22:40,06:27,Kahului,0
26.3,22:35,06:31,Honolulu,0
26.3,22:35,06:31,Honolulu,0
26.3,22:35,06:31,Honolulu,0
26.3,22:35,06:31,Honolulu,0
26.3,22:40,06:48,Kauai Island,0
26.3,22:40,06:48,Kauai Island,0
26.3,22:40,06:48,Kauai Island,0
26.3,04:00,07:00,Delhi,1
26.3,22:59,07:07,Honolulu,0
26.3,22:59,07:07,Honolulu,0
26.3,22:59,07:07,Honolulu,0
26.3,22:59,07:07,Honolulu,0
26.3,06:02,07:15,Salt Lake City,0
26.3,06:02,07:15,Salt Lake City,0
26.3,06:25,07:19,Boise,0
26.3,06:25,07:19,Boise,0
26.3,06:00,07:20,Los Angeles,0
