Date,Departure,Arrival,POI,I/D,,,,
31.3,23:45,17:35,Tel Aviv-Yafo,1,,,,
31.3,23:50,13:50,Accra,1,,,,
31.3,23:59,03:41,San Juan,1,,,,
31.3,00:50,18:20,Tel Aviv-Yafo,1,,,,
31.3,01:00,20:30,Doha,1,,,,
31.3,01:15,03:00,Chicago,0,,,,
31.3,01:25,04:15,Taipei,1,Date,Departure,Arrival,POI
31.3,02:05,05:55,Anchorage,0,,,,
31.3,02:12,06:41,Panama City,0,,,,
31.3,02:20,05:20,Houston,0,,,,
31.3,02:30,15:20,Brussels,1,,,,
31.3,04:10,07:05,San Salvador,1,,,,
31.3,04:35,18:15,Milan,1,,,,
31.3,04:35,17:15,Milan,1,,,,
31.3,04:45,17:33,Frankfurt,1,,,,
31.3,04:45,18:20,Frankfurt,1,,,,
31.3,05:01,08:29,Santiago,1,,,,
31.3,05:01,08:39,Santo Domingo,1,,,,
31.3,05:40,08:41,Fort Lauderdale,0,,,,
31.3,05:55,09:27,Santiago,1,,,,
31.3,06:00,09:47,San Juan,1,,,,
31.3,06:00,08:33,Atlanta,0,,,,
31.3,06:00,09:09,Miami,0,,,,
31.3,06:01,08:50,Kingston,1,,,,
31.3,06:01,09:47,Port Au Prince,1,,,,
31.3,06:14,08:21,Charlotte,0,,,,
31.3,06:20,18:25,Leicestershire,1,,,,
31.3,06:29,08:09,Cincinnati,0,,,,
31.3,06:45,07:55,Boston,0,,,,
31.3,06:55,10:33,Salt Lake City,0,,,,
31.3,06:59,10:24,Los Angeles,0,,,,
31.3,07:00,10:23,Seattle,0,,,,
31.3,07:00,12:40,Georgetown,0,,,,
31.3,07:00,12:51,Georgetown,0,,,,
31.3,07:00,10:17,Fort Myers,0,,,,
31.3,07:01,07:34,Hartford,0,,,,
31.3,07:05,10:08,Tampa,0,,,,
31.3,07:10,10:33,Seattle,0,,,,
31.3,07:10,10:17,Fort Lauderdale,0,,,,
31.3,07:10,10:18,Miami,0,,,,
31.3,07:15,09:33,Minneapolis,0,,,,
31.3,07:19,10:13,Orlando,0,,,,
31.3,07:25,10:39,Fort Myers,0,,,,
31.3,07:29,11:15,Punta Cana,1,,,,
31.3,07:29,10:36,Fort Worth,0,,,,
31.3,07:30,10:03,Jacksonville,0,,,,
31.3,07:30,10:50,Austin,0,,,,
31.3,07:30,11:55,Aruba,1,,,,
31.3,07:30,11:08,San Francisco,0,,,,
31.3,07:30,10:17,Bogota,1,,,,
