,Date,Departure,Arrival,POI,I/D,Departure_M,Arrival_M,Before_Arrivals,After_Arrivals
0,0.4,01:15,03:00,Chicago,0,75,180,0,0
1,0.4,02:05,05:55,Anchorage,0,125,355,0,2
2,0.4,02:12,06:41,Panama City,0,132,401,1,1
3,0.4,02:20,05:20,Houston,0,140,320,2,0
4,0.4,05:40,08:41,Fort Lauderdale,0,340,521,0,2
5,0.4,06:00,08:33,Atlanta,0,360,513,2,3
6,0.4,06:00,09:09,Miami,0,360,549,2,3
7,0.4,06:14,08:21,Charlotte,0,374,501,2,1
8,0.4,06:29,08:09,Cincinnati,0,389,489,3,3
9,0.4,06:45,07:55,Boston,0,405,475,1,12
10,0.4,06:55,10:33,Salt Lake City,0,415,633,2,13
11,0.4,06:59,10:24,Los Angeles,0,419,624,3,13
12,0.4,07:00,10:23,Seattle,0,420,623,6,15
13,0.4,07:00,12:40,Georgetown,0,420,760,6,15
14,0.4,07:00,12:51,Georgetown,0,420,771,6,15
15,0.4,07:00,10:17,Fort Myers,0,420,617,6,15
16,0.4,07:01,07:34,Hartford,0,421,454,7,11
17,0.4,07:05,10:08,Tampa,0,425,608,8,10
18,0.4,07:10,10:33,Seattle,0,430,633,11,9
19,0.4,07:10,10:17,Fort Lauderdale,0,430,617,11,9
20,0.4,07:10,10:18,Miami,0,430,618,11,9
21,0.4,07:15,09:33,Minneapolis,0,435,573,12,8
22,0.4,07:19,10:13,Orlando,0,439,613,12,7
23,0.4,07:25,10:39,Fort Myers,0,445,639,13,8
24,0.4,07:29,10:36,Fort Worth,0,449,636,13,10
25,0.4,07:30,10:03,Jacksonville,0,450,603,15,14
26,0.4,07:30,10:50,Austin,0,450,650,15,14
27,0.4,07:30,11:08,San Francisco,0,450,668,15,14
28,0.4,07:45,11:13,San Diego,0,465,673,8,13
29,0.4,07:45,11:00,Miami,0,465,660,8,13
30,0.4,07:50,10:30,Denver,0,470,630,7,13
31,0.4,07:55,11:42,Louisville,0,475,702,8,14
32,0.4,07:59,11:56,San Francisco,0,479,716,10,13
33,0.4,07:59,11:14,Miami,0,479,674,10,13
34,0.4,07:59,11:41,San Francisco,0,479,701,10,13
35,0.4,08:00,11:11,Fort Lauderdale,0,480,671,14,12
36,0.4,08:00,09:44,Raleigh/Durham,0,480,584,14,12
37,0.4,08:00,10:38,Jacksonville,0,480,638,14,12
38,0.4,08:00,11:58,Saint Thomas,0,480,718,14,12
39,0.4,08:00,11:28,Los Angeles,0,480,688,14,12
40,0.4,08:01,11:09,San Diego,0,481,669,12,7
41,0.4,08:15,11:35,Los Angeles,0,495,695,13,9
42,0.4,08:20,10:59,Atlanta,0,500,659,13,9
43,0.4,08:20,12:00,Anchorage,0,500,720,13,9
44,0.4,08:25,11:52,San Jose,0,505,712,14,7
