,Date,Departure,Arrival,POI,I/D,Departure_M,Arrival_M,Before_Arrivals,After_Arrivals
0,0.4,23:45,17:35,Tel Aviv-Yafo,1,1425,1055,3,2
1,0.4,23:50,13:50,Accra,1,1430,830,4,1
2,0.4,23:59,03:41,San Juan,1,1439,221,3,1
3,0.4,00:50,18:20,Tel Aviv-Yafo,1,50,1100,0,2
4,0.4,01:00,20:30,Doha,1,60,1230,1,2
5,0.4,01:15,03:00,Chicago,0,75,180,2,1
6,0.4,01:25,04:15,Taipei,1,85,255,2,0
7,0.4,02:05,05:55,Anchorage,0,125,355,0,3
8,0.4,02:12,06:41,Panama City,0,132,401,1,2
9,0.4,02:20,05:20,Houston,0,140,320,2,1
10,0.4,02:30,15:20,Brussels,1,150,920,3,0
11,0.4,04:10,07:05,San Salvador,1,250,425,0,2
12,0.4,04:35,18:15,Milan,1,275,1095,2,5
13,0.4,04:35,17:15,Milan,1,275,1035,2,5
14,0.4,04:45,17:33,Frankfurt,1,285,1053,3,3
15,0.4,04:45,18:20,Frankfurt,1,285,1100,3,3
16,0.4,05:01,08:29,Santiago,1,301,509,5,1
17,0.4,05:01,08:39,Santo Domingo,1,301,519,5,1
18,0.4,05:40,08:41,Fort Lauderdale,0,340,521,0,6
19,0.4,05:55,09:27,Santiago,1,355,567,1,7
20,0.4,06:00,09:47,San Juan,1,360,587,4,7
21,0.4,06:00,08:33,Atlanta,0,360,513,4,7
22,0.4,06:00,09:09,Miami,0,360,549,4,7
23,0.4,06:01,08:50,Kingston,1,361,530,6,4
24,0.4,06:01,09:47,Port Au Prince,1,361,587,6,4
25,0.4,06:14,08:21,Charlotte,0,374,501,6,2
26,0.4,06:20,18:25,Leicestershire,1,380,1105,7,2
27,0.4,06:29,08:09,Cincinnati,0,389,489,7,3
28,0.4,06:45,07:55,Boston,0,405,475,2,12
29,0.4,06:55,10:33,Salt Lake City,0,415,633,2,13
30,0.4,06:59,10:24,Los Angeles,0,419,624,3,14
31,0.4,07:00,10:23,Seattle,0,420,623,6,18
32,0.4,07:00,12:40,Georgetown,0,420,760,6,18
33,0.4,07:00,12:51,Georgetown,0,420,771,6,18
34,0.4,07:00,10:17,Fort Myers,0,420,617,6,18
35,0.4,07:01,07:34,Hartford,0,421,454,7,14
36,0.4,07:05,10:08,Tampa,0,425,608,8,13
37,0.4,07:10,10:33,Seattle,0,430,633,11,12
38,0.4,07:10,10:17,Fort Lauderdale,0,430,617,11,12
39,0.4,07:10,10:18,Miami,0,430,618,11,12
40,0.4,07:15,09:33,Minneapolis,0,435,573,12,12
41,0.4,07:19,10:13,Orlando,0,439,613,12,11
42,0.4,07:25,10:39,Fort Myers,0,445,639,13,12
43,0.4,07:29,11:15,Punta Cana,1,449,675,14,14
44,0.4,07:29,10:36,Fort Worth,0,449,636,14,14
45,0.4,07:30,10:03,Jacksonville,0,450,603,18,23
46,0.4,07:30,10:50,Austin,0,450,650,18,23
47,0.4,07:30,11:55,Aruba,1,450,715,18,23
48,0.4,07:30,11:08,San Francisco,0,450,668,18,23
49,0.4,07:30,10:17,Bogota,1,450,617,18,23
50,0.4,07:41,10:50,Cancun,1,461,650,10,21
51,0.4,07:45,11:13,San Diego,0,465,673,12,22
52,0.4,07:45,11:00,Miami,0,465,660,12,22
53,0.4,07:50,10:30,Denver,0,470,630,11,22
54,0.4,07:55,11:42,Louisville,0,475,702,12,23
55,0.4,07:59,11:56,San Francisco,0,479,716,14,23
56,0.4,07:59,11:14,Miami,0,479,674,14,23
57,0.4,07:59,11:41,San Francisco,0,479,701,14,23
58,0.4,08:00,11:11,Fort Lauderdale,0,480,671,23,23
59,0.4,08:00,09:44,Raleigh/Durham,0,480,584,23,23
60,0.4,08:00,10:38,Jacksonville,0,480,638,23,23
61,0.4,08:00,11:58,Saint Thomas,0,480,718,23,23
62,0.4,08:00,11:28,Los Angeles,0,480,688,23,23
63,0.4,08:00,19:40,London,1,480,1180,23,23
64,0.4,08:00,11:13,Cancun,1,480,673,23,23
65,0.4,08:00,11:04,Montego Bay,1,480,664,23,23
66,0.4,08:00,11:46,Santo Domingo,1,480,706,23,23
67,0.4,08:00,10:55,Montego Bay,1,480,655,23,23
68,0.4,08:00,11:50,Santiago,1,480,710,23,23
69,0.4,08:01,11:09,San Diego,0,481,669,19,12
70,0.4,08:05,11:57,San Juan,1,485,717,20,12
71,0.4,08:10,12:16,Punta Cana,1,490,736,21,13
72,0.4,08:15,11:35,Los Angeles,0,495,695,22,12
73,0.4,08:15,22:21,Leipzig/Halle,1,495,1341,22,12
74,0.4,08:20,10:59,Atlanta,0,500,659,22,12
75,0.4,08:20,12:00,Anchorage,0,500,720,22,12
76,0.4,08:25,11:52,San Jose,0,505,712,23,10
77,0.4,08:25,11:10,New Orleans,0,505,670,23,10
78,0.4,08:29,12:33,Antigua,1,509,753,23,8
79,0.4,08:30,11:32,Orlando,0,510,692,23,15
80,0.4,08:30,12:22,Santo Domingo,1,510,742,23,15
81,0.4,08:30,10:12,Memphis,0,510,612,23,15
82,0.4,08:35,11:40,Las Vegas,0,515,700,12,13
83,0.4,08:40,11:44,Sarasota,0,520,704,13,16
84,0.4,08:40,13:20,Anchorage,0,520,800,13,16
85,0.4,08:46,13:30,Aruba,1,526,810,11,16
86,0.4,08:48,11:49,Tampa,0,528,709,12,15
87,0.4,09:00,13:15,Antigua,1,540,795,15,16
88,0.4,09:00,12:12,Fort Lauderdale,0,540,732,15,16
89,0.4,09:00,12:58,San Juan,1,540,778,15,16
90,0.4,09:00,11:48,Louisville,0,540,708,15,16
91,0.4,09:00,12:08,Los Angeles,0,540,728,15,16
92,0.4,09:00,11:15,Charleston,0,540,675,15,16
93,0.4,09:00,12:02,West Palm Beach,0,540,722,15,16
94,0.4,09:00,13:45,Bogota,1,540,825,15,16
95,0.4,09:05,11:51,Phoenix,0,545,711,13,9
96,0.4,09:07,12:15,Cancun,1,547,735,13,9
97,0.4,09:10,12:10,Montego Bay,1,550,730,16,9
98,0.4,09:10,10:57,Raleigh/Durham,0,550,657,16,9
99,0.4,09:10,10:55,Memphis,0,550,655,16,9
100,0.4,09:15,10:58,Chicago,0,555,658,16,9
101,0.4,09:15,12:45,Seoul,1,555,765,16,9
102,0.4,09:22,12:50,Mexico City,1,562,770,15,8
103,0.4,09:30,10:42,Boston,0,570,642,16,10
104,0.4,09:35,12:58,Seattle,0,575,778,9,11
105,0.4,09:37,11:50,Detroit,0,577,710,9,10
106,0.4,09:40,13:01,Salt Lake City,0,580,781,9,9
107,0.4,09:42,12:05,Charleston,0,582,725,7,8
108,0.4,09:45,12:24,Atlanta,0,585,744,9,8
109,0.4,09:45,12:36,Las Vegas,0,585,756,9,8
110,0.4,09:49,13:30,Santiago,1,589,810,8,9
111,0.4,09:59,12:10,Charlotte,0,599,730,8,9
112,0.4,10:00,13:17,Cancun,1,600,797,10,11
113,0.4,10:00,14:35,Medellin,1,600,875,10,11
114,0.4,10:01,13:58,Cartagena,1,601,838,10,9
115,0.4,10:02,14:34,Aruba,1,602,874,11,9
116,0.4,10:15,13:18,Houston,0,615,798,8,10
117,0.4,10:17,14:46,Panama City,0,617,886,7,9
118,0.4,10:18,13:20,Cancun,1,618,800,8,8
119,0.4,10:19,14:10,Port Au Prince,1,619,850,9,7
120,0.4,10:25,13:54,Salt Lake City,0,625,834,9,6
121,0.4,10:30,12:51,Savannah,0,630,771,11,7
122,0.4,10:30,13:11,Vail,0,630,791,11,7
123,0.4,10:30,13:32,Tampa,0,630,812,11,7
124,0.4,10:32,13:35,Cancun,1,632,815,9,4
125,0.4,10:39,11:27,Trenton,0,639,687,9,4
126,0.4,10:45,14:26,Santiago,1,645,866,10,3
127,0.4,11:00,13:58,West Palm Beach,0,660,838,7,8
128,0.4,11:00,14:03,Fort Lauderdale,0,660,843,7,8
129,0.4,11:05,14:51,Punta Cana,1,665,891,4,7
130,0.4,11:18,14:13,Cancun,1,678,853,3,7
131,0.4,11:20,07:50,Dubai,1,680,470,4,6
132,0.4,11:28,14:21,Orlando,0,688,861,5,8
133,0.4,11:29,14:24,Montego Bay,1,689,864,6,8
134,0.4,11:30,14:23,Orlando,0,690,863,8,16
135,0.4,11:30,15:08,Puerto Plata,1,690,908,8,16
136,0.4,11:31,14:53,Los Angeles,0,691,893,7,14
137,0.4,11:45,15:29,Santo Domingo,1,705,929,7,16
138,0.4,11:52,14:00,Charlotte,0,712,840,6,15
139,0.4,11:56,15:44,Santiago,1,716,944,7,14
140,0.4,11:57,15:05,Miami,0,717,905,8,13
141,0.4,11:59,14:23,Atlanta,0,719,863,8,12
142,0.4,12:00,07:00,Baku,1,720,420,16,13
143,0.4,12:00,15:00,Tokyo,0,720,900,16,13
144,0.4,12:00,15:14,Miami,0,720,914,16,13
145,0.4,12:00,14:12,Cincinnati,0,720,852,16,13
146,0.4,12:00,14:19,Cincinnati,0,720,859,16,13
147,0.4,12:00,14:34,Beijing,1,720,874,16,13
148,0.4,12:00,15:20,Los Angeles,0,720,920,16,13
149,0.4,12:00,15:06,Fort Lauderdale,0,720,906,16,13
150,0.4,12:00,15:24,Los Angeles,0,720,924,16,13
151,0.4,12:10,13:23,Martha's Vineyard,0,730,803,14,4
152,0.4,12:15,13:44,Chicago,0,735,824,16,3
153,0.4,12:15,13:05,Middletown,0,735,785,16,3
154,0.4,12:30,12:00,Delhi,1,750,720,13,3
155,0.4,12:30,16:14,Santo Domingo,1,750,974,13,3
156,0.4,13:00,05:20,Istanbul,1,780,320,3,3
157,0.4,13:00,16:39,Santo Domingo,1,780,999,3,3
158,0.4,13:15,16:35,Tokyo,0,795,995,2,4
159,0.4,13:30,13:55,Liege,1,810,835,3,8
160,0.4,13:35,16:31,Orlando,0,815,991,3,7
161,0.4,13:35,16:20,Phoenix,0,815,980,3,7
162,0.4,13:45,17:29,San Juan,1,825,1049,4,6
163,0.4,13:48,18:45,Bogota,1,828,1125,4,5
164,0.4,13:50,17:45,Seoul,1,830,1065,5,4
165,0.4,13:55,17:20,Seoul,1,835,1040,6,4
166,0.4,14:00,16:29,Denver,0,840,989,8,4
167,0.4,14:00,17:04,Tampa,0,840,1024,8,4
168,0.4,14:13,16:44,Jacksonville,0,853,1004,6,2
169,0.4,14:25,18:05,Santiago,1,865,1085,4,6
170,0.4,14:30,17:46,Miami,0,870,1066,4,8
171,0.4,14:54,18:12,Fort Lauderdale,0,894,1092,2,8
172,0.4,14:55,16:42,Raleigh/Durham,0,895,1002,6,8
173,0.4,14:55,16:23,Rochester,0,895,983,6,8
174,0.4,14:55,16:30,Buffalo,0,895,990,6,8
175,0.4,14:55,16:30,Washington,0,895,990,6,8
176,0.4,15:00,18:06,Sun Valley,0,900,1086,8,5
177,0.4,15:00,16:15,Syracuse,0,900,975,8,5
178,0.4,15:00,17:30,Halifax,1,900,1050,8,5
179,0.4,15:05,17:26,Minneapolis,0,905,1046,8,5
180,0.4,15:25,18:43,Miami,0,925,1123,8,9
181,0.4,15:29,18:34,West Palm Beach,0,929,1114,5,9
182,0.4,15:31,21:25,Guayaquil,1,931,1285,3,10
183,0.4,15:35,18:34,Orlando,0,935,1114,5,11
184,0.4,15:35,18:47,Fort Lauderdale,0,935,1127,5,11
185,0.4,15:40,18:45,Orlando,0,940,1125,5,10
186,0.4,15:45,18:35,Kingston,1,945,1115,7,9
187,0.4,15:45,18:21,Atlanta,0,945,1101,7,9
188,0.4,15:47,18:59,Fort Myers,0,947,1139,8,7
189,0.4,15:50,21:33,Georgetown,0,950,1293,9,7
190,0.4,15:59,19:54,San Juan,1,959,1194,9,7
191,0.4,16:00,19:30,Mexico City,1,960,1170,10,9
192,0.4,16:00,18:15,Beijing,1,960,1095,10,9
193,0.4,16:05,19:27,Fort Myers,0,965,1167,11,8
194,0.4,16:05,19:25,Mexico City,1,965,1165,11,8
195,0.4,16:10,19:35,Los Angeles,0,970,1175,10,8
196,0.4,16:18,19:40,Miami,0,978,1180,7,10
197,0.4,16:25,19:25,Shanghai,1,985,1165,7,11
198,0.4,16:30,20:11,Santiago,1,990,1211,9,12
199,0.4,16:30,19:35,Tampa,0,990,1175,9,12
200,0.4,16:30,20:19,Santo Domingo,1,990,1219,9,12
201,0.4,16:33,19:50,Miami,0,993,1190,8,9
202,0.4,16:39,19:39,Orlando,0,999,1179,7,8
203,0.4,16:40,20:15,Los Angeles,0,1000,1215,8,8
204,0.4,16:41,19:18,Atlanta,0,1001,1158,9,7
205,0.4,16:41,20:16,Salt Lake City,0,1001,1216,9,7
206,0.4,16:45,18:03,Boston,0,1005,1083,10,9
207,0.4,16:55,20:33,Tokyo,0,1015,1233,11,9
208,0.4,16:55,20:20,Tokyo,0,1015,1220,11,9
209,0.4,16:59,20:57,San Francisco,0,1019,1257,11,7
210,0.4,17:00,20:25,Los Angeles,0,1020,1225,12,8
211,0.4,17:10,19:01,Chicago,0,1030,1141,8,10
212,0.4,17:15,20:40,Los Angeles,0,1035,1240,9,11
213,0.4,17:15,07:30,Rome,0,1035,450,9,11
214,0.4,17:15,04:50,Dublin,1,1035,290,9,11
215,0.4,17:15,06:50,Amsterdam,1,1035,410,9,11
216,0.4,17:20,20:41,Seattle,0,1040,1241,9,7
217,0.4,17:30,20:55,Austin,0,1050,1255,8,10
218,0.4,17:30,19:44,Detroit,0,1050,1184,8,10
219,0.4,17:31,19:46,Charlotte,0,1051,1186,8,8
220,0.4,17:35,07:45,Milan,1,1055,465,10,7
221,0.4,17:35,05:00,Sao Paulo,1,1055,300,10,7
222,0.4,17:45,20:54,Fort Lauderdale,0,1065,1254,11,6
223,0.4,17:45,06:55,Paris,1,1065,415,11,6
224,0.4,17:54,21:03,Fort Lauderdale,0,1074,1263,7,5
225,0.4,17:55,21:37,San Francisco,0,1075,1297,8,4
226,0.4,18:00,21:49,San Francisco,0,1080,1309,10,9
227,0.4,18:00,21:25,Mexico City,1,1080,1285,10,9
228,0.4,18:15,21:15,Tokyo,0,1095,1275,6,9
229,0.4,18:20,06:20,London,1,1100,380,5,8
230,0.4,18:30,21:51,Los Angeles,0,1110,1311,9,14
231,0.4,18:30,08:00,Paris,1,1110,480,9,14
232,0.4,18:30,11:00,Cairo,1,1110,660,9,14
233,0.4,18:30,21:44,Portland,0,1110,1304,9,14
234,0.4,18:30,07:45,Amsterdam,1,1110,465,9,14
235,0.4,18:30,06:30,London,1,1110,390,9,14
236,0.4,18:45,22:35,San Francisco,0,1125,1355,9,9
237,0.4,18:45,21:15,Atlanta,0,1125,1275,9,9
238,0.4,18:55,21:24,Savannah,0,1135,1284,9,8
239,0.4,18:55,22:46,San Juan,1,1135,1366,9,8
240,0.4,18:59,22:51,San Juan,1,1139,1371,11,7
241,0.4,18:59,22:08,San Salvador,1,1139,1328,11,7
242,0.4,19:00,22:34,Los Angeles,0,1140,1354,14,9
243,0.4,19:00,20:35,Rockford,0,1140,1235,14,9
244,0.4,19:00,11:27,Istanbul,1,1140,687,14,9
245,0.4,19:15,22:11,Lakeland,0,1155,1331,9,9
246,0.4,19:25,23:29,San Francisco,0,1165,1409,8,9
247,0.4,19:29,22:51,Miami,0,1169,1371,7,13
248,0.4,19:30,07:10,Dakar,1,1170,430,9,14
249,0.4,19:30,07:35,London,1,1170,455,9,14
250,0.4,19:30,09:10,Paris,1,1170,550,9,14
251,0.4,19:30,22:24,Orlando,0,1170,1344,9,14
252,0.4,19:33,09:15,Madrid,1,1173,555,7,10
253,0.4,19:40,21:20,Washington,0,1180,1280,8,11
254,0.4,19:45,21:44,Raleigh/Durham,0,1185,1304,9,11
255,0.4,19:50,22:34,Phoenix,0,1190,1354,9,10
256,0.4,19:59,23:08,Las Vegas,0,1199,1388,13,9
257,0.4,19:59,21:30,Burlington,0,1199,1290,13,9
258,0.4,19:59,23:24,Miami,0,1199,1404,13,9
259,0.4,19:59,23:22,Fort Lauderdale,0,1199,1402,13,9
260,0.4,19:59,21:34,Rochester,0,1199,1294,13,9
261,0.4,20:00,23:49,Santiago,1,1200,1429,14,7
262,0.4,20:00,20:42,Westchester County,0,1200,1242,14,7
263,0.4,20:10,23:10,Orlando,0,1210,1390,11,9
264,0.4,20:10,08:20,London,1,1210,500,11,9
265,0.4,20:15,22:25,Atlanta,0,1215,1345,11,8
266,0.4,20:30,10:15,Paris,1,1230,615,7,14
267,0.4,20:30,01:24,Bogota,1,1230,84,7,14
268,0.4,20:30,09:45,Paris,1,1230,585,7,14
269,0.4,20:35,00:27,Santo Domingo,1,1235,27,7,13
270,0.4,20:35,08:16,London,1,1235,496,7,13
271,0.4,20:40,10:00,Madrid,1,1240,600,9,11
272,0.4,20:40,08:30,Casablanca,1,1240,510,9,11
273,0.4,20:45,11:35,Helsinki,1,1245,695,8,10
274,0.4,20:55,00:18,Los Angeles,0,1255,18,9,9
275,0.4,20:55,16:25,Doha,1,1255,985,9,9
276,0.4,20:59,22:36,Buffalo,0,1259,1356,11,8
277,0.4,20:59,22:18,Syracuse,0,1259,1338,11,8
278,0.4,21:00,22:17,Boston,0,1260,1337,14,6
279,0.4,21:00,22:22,Syracuse,0,1260,1342,14,6
280,0.4,21:00,22:33,Buffalo,0,1260,1353,14,6
281,0.4,21:05,17:50,Abu Dhabi,1,1265,1070,13,4
282,0.4,21:05,10:55,Zurich,1,1265,655,13,4
283,0.4,21:15,11:35,Lome,1,1275,695,10,4
284,0.4,21:29,22:49,Boston,0,1289,1369,8,5
285,0.4,21:35,09:40,London,1,1295,580,4,6
286,0.4,21:40,23:25,Chicago,0,1300,1405,3,5
287,0.4,21:42,09:15,Dublin,1,1302,555,4,4
288,0.4,21:55,09:50,Buenos Aires,1,1315,590,5,4
289,0.4,21:55,23:38,Memphis,0,1315,1418,5,4
290,0.4,22:00,09:36,London,1,1320,576,6,5
291,0.4,22:00,00:51,Phoenix,0,1320,51,6,5
292,0.4,22:15,12:45,Warsaw,1,1335,765,4,7
293,0.4,22:30,02:10,Santiago,1,1350,130,5,12
294,0.4,22:30,00:30,Chicago,0,1350,30,5,12
295,0.4,22:30,05:20,Singapore,1,1350,320,5,12
296,0.4,22:35,11:29,Frankfurt,1,1355,689,5,11
297,0.4,22:35,12:05,Frankfurt,1,1355,725,5,11
298,0.4,22:37,23:55,Rockford,0,1357,1435,6,9
299,0.4,22:43,00:26,Memphis,0,1363,26,7,9
300,0.4,22:46,09:40,Sao Paulo,1,1366,580,7,8
301,0.4,22:47,00:47,Indianapolis,0,1367,47,8,7
302,0.4,22:50,00:52,Louisville,0,1370,52,9,8
303,0.4,23:00,19:45,Dubai,1,1380,1185,12,8
304,0.4,23:00,09:15,Sao Paulo,1,1380,555,12,8
305,0.4,23:00,02:41,Santo Domingo,1,1380,161,12,8
306,0.4,23:05,16:31,Rota,1,1385,991,11,5
307,0.4,23:05,23:39,Philadelphia,0,1385,1419,11,5
308,0.4,23:10,00:58,Cincinnati,0,1390,58,9,3
309,0.4,23:20,02:43,Mexico City,1,1400,163,8,4
310,0.4,23:20,16:00,Istanbul,1,1400,960,8,4
311,0.4,23:30,00:43,Hamilton,1,1410,43,8,3
312,1.4,08:40,13:20,Anchorage,0,520,800,14,20
313,1.4,23:05,16:31,Rota,1,1385,991,11,6
314,1.4,23:20,16:00,Istanbul,1,1400,960,9,6
315,1.4,23:20,02:43,Mexico City,1,1400,163,9,6
316,1.4,23:45,17:35,Tel Aviv-Yafo,1,1425,1055,4,6
317,1.4,23:50,13:50,Accra,1,1430,830,6,4
318,1.4,23:59,03:41,San Juan,1,1439,221,6,2
319,1.4,00:25,04:20,Hong Kong,1,25,260,0,1
320,1.4,00:30,18:00,Tel Aviv-Yafo,1,30,1080,1,1
321,1.4,01:00,20:30,Doha,1,60,1230,1,1
322,1.4,01:25,05:15,Taipei,1,85,315,1,0
323,1.4,02:10,07:00,Bogota,1,130,420,0,1
324,1.4,02:12,06:41,Panama City,0,132,401,1,0
325,1.4,03:01,14:48,Shannon,0,181,888,0,0
326,1.4,04:00,08:15,Mexico City,1,240,495,0,2
327,1.4,04:10,07:05,San Salvador,1,250,425,1,3
328,1.4,04:15,07:07,Anchorage,0,255,427,2,2
329,1.4,04:35,18:15,Milan,1,275,1095,2,3
330,1.4,04:40,08:13,Anchorage,0,280,493,3,2
331,1.4,05:01,08:29,Santiago,1,301,509,3,1
