month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
1,12,7,2,8,32,19,421,2704,895,927,946,1136,1160,50,42,74,9,6,0,30.16,24,30
1,2,4,0,36,-2,14,94,337,750,748,762,844,834,57,47,69,6,3,0,30.09,39,27
1,6,1,3,36,-2,11,92,337,1182,1180,1191,1274,1264,51,39,63,0,0,0,30.36,17,47
12,10,2,3,3,2,15,329,2139,854,856,871,1003,997,56,47,72,0,0,0,30.16,40,28
12,20,5,7,74,160,16,103,372,405,565,581,508,660,50,48,93,5,6,0,30.2,36,39
1,26,7,0,54,-1,27,297,1846,655,654,681,832,823,58,51,78,15,16,0,30.24,29,31
12,20,5,7,28,33,16,311,2398,796,829,845,1227,1252,55,49,80,7,5,0,30.12,29,41
12,29,7,1,36,-2,48,93,337,510,508,556,603,593,56,48,75,17,8,0,30.15,34,53
12,30,1,7,36,-12,20,96,337,840,828,848,936,916,56,47,72,15,13,0,30.09,29,28
1,7,2,0,36,-2,14,90,337,1083,1081,1095,1173,1163,53,45,74,15,16,23,30.12,19,31
1,9,4,6,74,-10,11,95,372,1200,1190,1201,1295,1277,48,41,77,9,3,0,30.18,19,41
12,7,6,4,35,170,33,110,414,780,950,983,890,1052,61,55,81,12,20,35,29.88,20,21
1,14,2,8,36,-6,12,95,337,570,564,576,665,651,54,39,57,8,13,0,30.27,42,17
12,25,3,7,23,-3,21,400,2565,1019,1016,1037,1239,1228,51,43,74,6,30,0,29.7,25,35
1,2,4,7,54,3,15,289,1846,935,938,953,1104,1099,56,48,75,15,9,0,30.11,29,40
12,17,2,4,35,-8,20,110,414,769,761,781,879,863,55,40,57,0,0,0,30.09,30,33
1,30,4,0,36,-5,41,97,337,497,492,533,594,581,55,53,93,16,9,0,30.26,37,51
11,12,2,7,35,-3,15,98,414,458,455,470,556,545,61,52,72,0,0,0,30.08,35,52
12,25,3,7,23,-5,15,394,2565,960,955,970,1174,1161,54,43,66,5,24,0,29.7,24,37
12,4,3,6,62,27,22,101,421,649,676,698,750,769,55,51,86,6,3,0,29.81,38,39
11,5,2,7,50,22,14,295,2338,840,862,876,1255,1269,52,48,86,16,21,0,30.02,20,41
11,28,4,7,35,-5,61,98,414,710,705,766,808,795,49,38,66,6,8,0,29.57,35,22
12,25,3,6,70,58,26,79,190,619,677,703,698,748,52,43,71,3,12,0,29.76,34,34
12,11,3,6,16,44,22,254,1476,1095,1139,1161,1229,1265,58,54,87,3,3,0,30.16,16,44
11,12,2,0,19,19,16,246,1464,550,569,585,676,687,64,53,67,6,5,0,30.05,33,39
11,15,5,7,23,-4,28,386,2565,1020,1016,1044,1226,1214,56,53,90,15,14,0,30.14,24,41
11,18,1,1,35,-5,14,103,414,910,905,919,1013,1000,64,50,60,16,16,0,29.84,40,29
11,21,4,3,3,0,14,336,2139,1283,1283,1297,1439,1431,55,46,72,10,5,0,30.04,24,21
1,9,4,6,72,-1,15,125,599,980,979,994,1045,1036,54,43,66,5,9,0,30.12,23,28
1,7,2,6,62,-7,8,109,421,476,469,477,585,570,50,43,77,0,0,0,30.22,37,49
11,12,2,8,67,-2,12,95,447,1070,1068,1080,1165,1155,59,46,62,15,10,0,29.98,24,32
12,25,3,1,57,6,24,112,550,570,576,600,682,680,50,44,80,3,10,0,29.79,32,36
1,21,2,6,72,25,26,139,599,1020,1045,1071,1099,1116,53,51,93,3,10,0,30.1,23,32
12,19,4,8,36,2,19,90,337,505,507,526,595,589,56,50,80,1,5,0,30.22,33,50
12,28,6,1,71,1,12,137,679,1285,1286,1298,1422,1415,54,48,80,15,9,0,30.14,33,26
12,6,5,6,5,4,10,74,238,360,364,374,434,430,55,51,86,3,8,0,30.01,26,23
11,14,4,0,33,-4,26,405,2586,1275,1271,1297,60,48,59,49,69,9,5,0,30.15,9,8
12,23,1,1,71,-6,15,137,679,1175,1169,1184,1312,1298,50,43,77,15,9,0,29.87,20,44
11,27,3,7,69,13,11,76,262,360,373,384,436,441,47,34,61,16,20,30,29.56,26,26
12,10,2,3,3,14,16,330,2139,1289,1303,1319,1439,5,62,57,84,10,8,0,30.17,7,4
12,26,4,6,62,-4,9,107,421,621,617,626,728,716,55,37,51,5,3,0,29.91,36,37
11,30,6,7,28,3,16,295,2398,835,838,854,1250,1245,54,44,69,3,20,29,29.83,26,40
1,4,6,6,24,-6,22,66,158,1074,1068,1090,1140,1126,52,47,83,15,13,0,30.39,25,33
11,8,5,6,0,-9,8,156,896,924,915,923,1020,1003,53,48,83,16,20,0,30.14,40,29
1,23,4,8,18,-5,12,175,967,485,480,492,600,587,53,47,80,3,3,0,30.24,37,50
12,12,4,7,50,-13,9,294,2338,1439,1426,1435,413,392,61,56,83,0,0,0,30.23,27,9
1,20,1,8,41,12,15,300,1855,550,562,577,730,734,51,44,77,1,6,0,30.01,39,37
1,27,1,6,24,29,10,74,158,516,545,555,590,611,56,50,80,2,5,0,30.42,42,17
12,14,6,6,56,0,12,135,710,360,360,372,495,487,55,46,72,15,18,28,30.08,48,30
1,28,2,4,18,-8,13,174,967,1330,1322,1335,4,1428,52,47,83,0,0,0,30.36,19,14
1,8,3,7,62,-14,15,102,421,843,829,844,945,923,54,43,66,15,14,0,30.1,23,27
11,12,2,3,20,31,12,323,2079,1245,1276,1288,1388,1411,53,48,83,16,12,0,30.01,20,19
12,9,1,6,70,67,48,71,190,625,692,740,696,755,55,50,83,1,8,0,30.16,34,41
12,20,5,6,7,-1,11,131,522,381,380,391,452,443,50,49,96,0,0,0,30.23,30,25
11,23,6,6,74,-8,14,94,372,1096,1088,1102,1190,1174,59,44,58,15,10,0,30.15,23,32
11,8,5,6,46,-2,16,288,1772,930,928,944,1098,1088,54,48,80,15,17,0,30.15,22,39
11,5,2,7,50,-9,9,294,2338,1326,1317,1326,300,283,50,46,86,16,10,0,30.02,0,1
12,23,1,6,49,283,25,152,791,1014,1297,1322,1106,1381,50,43,77,15,10,0,29.87,34,21
11,21,4,8,35,-2,11,95,414,1310,1308,1319,1405,1395,55,46,72,10,5,0,30.04,24,21
12,28,6,7,35,6,15,105,414,796,802,817,901,899,56,45,67,16,13,0,30.1,26,30
