MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_DELAY,TAXI_OUT,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,WHEELS_OFF_M,CRS_ARR_M,Pred_Wheels_On,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr
11,29,5,AA,PHL,3,15,379,2521,950,953,968,1149,1144,47,41,80,SSE,7,0,29.95,Partly Cloudy,23,35
12,13,5,DL,DTW,-3,24,336,2079,505,502,526,661,650,56,52,87,WNW,9,0,30.24,Cloudy,43,24
11,23,6,AS,SEA,-14,26,137,679,1235,1221,1247,1372,1350,53,45,74,W,8,0,30.17,Fair,24,24
12,15,7,AS,BOS,-1,17,415,2704,1025,1024,1041,1260,1251,50,43,77,W,9,0,30.25,Partly Cloudy,24,39
11,18,1,AS,LAS,-11,16,100,414,760,749,765,860,841,66,55,68,E,6,0,29.85,Fair,31,32
1,19,7,UA,IAD,22,15,376,2419,1080,1102,1117,1276,1290,50,42,74,ENE,8,0,30.06,Cloudy,15,38
12,24,2,UA,LAX,-1,20,101,337,600,599,619,701,692,52,39,61,WNW,13,0,29.92,Cloudy,33,36
1,5,7,AS,JFK,55,39,410,2586,995,1050,1089,1225,1272,50,45,83,WNW,8,0,30.53,Fair,25,49
11,11,1,AS,AUS,-5,11,240,1504,420,415,426,540,527,55,53,93,ENE,3,0,30.06,Fog,49,30
1,6,1,WN,SAN,-8,13,100,447,1235,1227,1240,1335,1319,50,40,68,S,3,0,30.35,Fair,17,47
1,5,7,F9,DEN,-6,15,179,967,999,993,1008,1118,1104,52,47,83,W,12,0,30.5,Fair,27,37
12,2,1,UA,IAD,172,26,360,2419,1110,1282,1308,1290,14,56,51,84,ESE,6,0,29.9,Cloudy,12,9
12,10,2,AS,LAX,40,42,93,337,690,730,772,783,815,58,48,70,NNE,5,0,30.19,Mostly Cloudy,41,24
1,19,7,OO,PSC,-12,12,124,620,367,355,367,491,471,46,36,68,SE,10,0,30.16,Mostly Cloudy,21,13
1,1,3,OO,OKC,-1,10,246,1384,469,468,478,595,586,55,51,86,WNW,15,24,30.18,Mostly Cloudy,36,45
12,27,5,AA,PHL,-2,21,388,2521,1255,1253,1274,23,13,47,43,86,CALM,0,0,30.1,Fair,11,9
1,13,1,OO,EUG,3,21,111,451,360,363,384,471,466,47,43,86,SW,3,0,30.19,Fair,27,26
12,30,1,HA,HNL,-1,16,310,2398,895,894,910,1325,1316,50,45,83,W,7,0,30.11,Fair,20,44
11,1,5,DL,SEA,-3,26,141,679,540,537,563,681,670,62,40,44,NNE,5,0,30.14,Fair,31,41
11,9,6,UA,EWR,-3,12,381,2565,840,837,849,1041,1030,55,49,80,W,24,0,30.06,Fair / Windy,18,22
12,17,2,UA,SAN,-7,15,105,447,425,418,433,530,515,48,40,74,CALM,0,0,30.23,Mostly Cloudy,47,28
12,22,7,UA,MCO,-6,17,365,2446,390,384,401,575,561,56,51,84,S,12,21,29.74,Light Rain,34,52
12,27,5,UA,EWR,-1,29,381,2565,1020,1019,1048,1221,1212,52,47,83,W,8,0,30.06,Fair,29,43
12,19,4,B6,JFK,0,21,402,2586,415,415,436,637,629,55,51,86,ENE,5,0,30.22,Mostly Cloudy,43,28
