month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,12,4,3,20,8,42,336,2079,505,513,555,661,661,60,55,83,4,6,0,30.29,37,41
11,1,5,6,62,-11,9,90,421,1240,1229,1238,1330,1311,60,29,31,12,3,0,30.1,19,48
1,13,1,0,58,-2,16,394,2521,660,658,674,874,864,55,44,67,17,6,0,30.18,32,31
11,25,1,2,8,-11,17,406,2704,400,389,406,626,607,59,44,58,4,7,0,30.1,42,24
1,15,3,1,17,-12,17,380,2442,1030,1018,1035,1230,1210,50,40,68,9,7,0,29.93,31,39
11,6,3,0,43,-7,18,383,2585,1092,1085,1103,1295,1280,50,48,93,16,13,0,30.01,22,47
12,6,5,0,33,208,30,404,2586,1065,1273,1303,1289,49,58,53,84,13,9,0,29.94,7,7
11,26,2,7,8,-12,21,403,2704,362,350,371,585,565,54,33,45,0,0,0,30.0,36,50
1,4,6,6,66,-8,17,85,192,735,727,744,820,804,59,47,64,16,13,0,30.38,40,24
11,14,4,7,34,-7,11,303,2367,795,788,799,1218,1203,60,49,67,17,10,0,30.12,26,40
11,15,5,7,40,-6,20,362,2446,400,394,414,582,568,61,51,70,0,0,0,30.22,37,52
11,27,3,5,28,-5,15,310,2398,1325,1320,1335,315,302,47,40,77,15,7,0,29.52,9,4
1,29,3,5,28,-7,18,310,2398,1310,1303,1321,300,285,50,45,83,0,0,0,30.27,0,1
11,27,3,6,53,-11,31,92,363,730,719,750,822,803,50,37,61,15,9,0,29.5,40,27
12,9,1,3,33,12,35,422,2586,490,502,537,732,736,55,50,83,1,8,0,30.16,34,41
1,23,4,8,67,-6,39,100,447,495,489,528,595,581,53,47,80,3,3,0,30.24,37,50
12,25,3,7,18,12,17,167,967,561,573,590,668,672,50,44,80,3,10,0,29.79,32,36
12,20,5,6,74,-5,25,93,372,790,785,810,883,870,56,48,75,5,5,0,30.14,27,30
12,14,6,6,62,-3,11,104,421,450,447,458,554,543,56,45,67,15,20,0,30.09,36,45
11,18,1,7,18,-2,15,163,967,1135,1133,1148,1238,1228,55,52,89,15,22,0,29.84,25,39
12,18,3,7,67,30,27,96,447,1130,1160,1187,1226,1248,55,49,80,13,7,0,30.06,26,38
12,9,1,1,36,-16,21,91,337,990,974,995,1081,1057,56,47,72,15,10,0,30.17,23,25
12,16,1,7,35,-2,17,98,414,817,815,832,915,905,55,39,55,0,0,0,30.27,24,34
1,12,7,1,71,12,45,138,679,590,602,647,728,732,55,42,62,16,14,0,30.19,37,35
1,16,4,7,62,28,35,102,421,843,871,906,945,965,53,40,61,17,15,0,29.85,36,31
12,12,4,7,18,-12,12,163,967,1330,1318,1330,1433,1413,58,55,90,16,6,0,30.27,22,19
1,9,4,0,59,-4,11,127,651,1268,1264,1275,1335,1323,48,42,80,12,3,0,30.2,28,21
12,6,5,7,30,6,28,259,1635,1000,1006,1034,1139,1137,59,52,78,10,21,0,29.91,23,38
1,14,2,7,78,-3,38,365,2393,1113,1110,1148,1298,1287,50,40,68,15,6,0,30.19,17,38
12,3,2,6,72,26,18,135,599,960,986,1004,1035,1053,57,51,81,0,0,0,29.95,25,21
11,30,6,6,72,275,21,135,599,960,1235,1256,1035,1302,54,45,72,10,18,0,29.83,27,44
12,12,4,8,36,24,18,85,337,1005,1029,1047,1090,1106,59,56,90,1,5,0,30.27,23,37
12,7,6,2,8,204,18,408,2704,960,1164,1182,1188,1384,60,53,78,12,9,21,29.94,21,12
12,5,4,6,1,68,24,76,250,480,548,572,556,616,56,51,84,2,3,0,30.08,42,26
12,15,7,7,35,-5,20,98,414,643,638,658,741,728,56,41,57,15,16,0,30.22,32,39
11,26,2,7,71,69,28,133,679,1170,1239,1267,1303,1364,54,43,66,15,21,0,29.55,33,28
12,15,7,3,3,0,27,334,2139,1204,1204,1231,1358,1350,50,43,77,15,5,0,30.26,31,25
1,16,4,7,74,8,35,108,372,405,413,448,513,513,47,42,83,15,24,33,29.76,52,31
