,month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep,act_dep,sch_arr,temp,dew,hum,wind,w_spd,gust,pres,cond,bef_dep1,aft_dep1,bef_arr1,aft_arr1
25643,1,22,3,2,28,-13,401,2475,785,772,1006,35,21,57,14,7,0,30.43,3,12,7,6,7
13489,12,14,6,4,52,-3,391,2446,485,482,696,52,52,10,0,0,0,29.44,0,17,17,4,8
27541,1,28,2,4,56,-4,414,2586,509,505,743,39,27,62,8,17,0,29.82,16,16,9,3,7
27004,1,26,7,4,55,33,389,2422,957,990,1166,44,32,63,17,10,0,29.77,16,10,13,3,8
13857,12,15,7,8,4,-7,77,187,735,728,812,49,28,44,15,28,37,29.81,17,4,6,5,8
535,11,2,6,3,59,-9,327,1990,1182,1173,1389,48,41,77,5,5,0,30.05,16,8,6,5,7
14631,12,17,2,3,27,37,353,2248,1170,1207,1343,34,33,96,7,8,0,29.7,12,11,7,4,14
18482,12,30,1,4,52,16,396,2446,500,516,716,42,42,10,2,16,0,29.84,12,8,7,6,9
10814,12,5,4,1,28,-5,378,2475,660,655,858,44,23,43,16,25,35,29.79,17,5,17,2,5
23368,1,14,2,0,22,-12,95,228,1230,1218,1325,43,43,10,1,5,0,30.15,0,10,10,5,7
12393,12,10,2,4,31,-3,205,1089,936,933,1141,54,54,10,13,14,0,29.84,0,13,12,5,7
5872,11,18,1,7,36,5,180,740,1195,1200,1315,40,40,10,7,7,0,29.72,12,13,10,6,20
25247,1,21,2,0,11,11,129,425,518,529,647,25,13,60,4,7,0,30.46,3,7,11,4,6
7188,11,22,5,4,52,-3,371,2446,1015,1012,1206,46,28,50,16,24,32,29.82,19,12,16,6,9
15591,12,21,6,0,48,21,111,288,520,541,631,29,20,69,6,6,0,30.66,16,3,14,6,4
20955,1,7,2,1,12,-4,125,541,723,719,848,43,23,45,1,5,0,30.0,0,8,3,4,8
14482,12,17,2,4,55,9,385,2422,675,684,880,35,35,10,6,14,0,29.74,20,14,15,4,8
23229,1,14,2,4,18,-3,126,509,774,771,900,46,37,71,1,7,0,30.23,0,4,8,4,7
26405,1,24,5,4,4,-5,82,187,1033,1028,1115,42,31,65,1,8,0,30.31,16,9,7,4,7
16110,12,22,7,0,18,-4,152,509,1170,1166,1322,40,32,73,17,14,0,30.23,3,10,15,3,3
26259,1,24,5,1,4,-3,76,187,565,562,641,45,30,56,5,5,0,30.39,18,14,7,2,3
23764,1,16,4,3,28,-8,391,2475,415,407,626,46,45,96,15,13,0,29.84,18,6,10,6,12
20029,1,4,6,3,10,21,137,636,839,860,976,50,50,10,15,10,0,29.54,0,3,10,4,9
18811,12,31,2,0,48,0,105,288,880,880,985,42,39,89,13,12,0,29.61,16,7,19,7,14
26929,1,26,7,0,36,-9,169,740,764,755,873,47,30,52,16,15,23,29.77,16,8,7,7,12
23841,1,16,4,6,47,-7,113,427,570,563,683,48,36,63,8,33,47,29.88,19,15,7,1,3
27400,1,27,1,1,53,0,292,1587,1135,1135,1367,44,27,51,16,12,0,29.71,16,13,13,4,8
24081,1,17,5,1,28,-1,394,2475,450,449,664,23,4,44,7,23,33,30.55,4,12,17,7,12
9165,11,29,5,3,58,-2,222,1598,301,299,583,32,21,64,4,23,29,30.21,4,0,2,2,7
22501,1,12,7,1,4,12,76,187,565,577,641,62,49,62,17,25,0,29.98,17,11,10,3,8
4327,11,14,4,0,24,3,142,665,585,588,727,37,22,54,14,5,0,30.46,16,10,7,4,8
15952,12,22,7,1,42,24,362,2153,644,668,886,41,30,65,13,12,0,30.31,18,8,15,1,3
15912,12,22,7,8,13,-5,127,483,545,540,672,36,27,70,17,9,0,30.37,3,8,14,5,8
6372,11,20,3,1,56,-9,394,2586,660,651,874,44,34,68,4,20,0,29.93,0,3,12,4,4
12663,12,11,3,4,28,-4,390,2475,1080,1076,1290,36,23,59,15,22,29,30.36,4,7,7,5,8
28448,1,30,4,4,27,37,374,2248,1242,1279,1436,31,22,69,5,5,0,30.35,16,7,6,8,13
22606,1,12,7,3,51,-1,204,1074,941,940,1145,64,39,40,15,22,30,30.14,4,12,13,5,9
11384,12,7,6,3,64,78,179,1005,451,529,630,34,20,56,8,16,23,30.35,16,9,6,3,7
3918,11,13,3,3,64,-6,180,1005,447,441,627,25,10,53,8,21,30,30.3,4,15,8,4,10
23767,1,16,4,4,56,-5,401,2586,420,415,641,46,45,96,15,13,0,29.84,18,8,13,5,16
6824,11,21,4,2,56,-3,410,2586,995,992,1225,46,36,68,13,8,0,30.1,16,10,14,6,10
19499,1,2,4,0,3,-1,172,765,1125,1124,1237,44,41,89,12,12,0,29.89,16,11,6,7,12
17018,12,25,3,4,42,-1,366,2153,1160,1159,1406,37,35,93,0,0,0,30.18,16,5,18,2,3
26297,1,24,5,8,15,-7,86,213,709,702,795,51,18,27,1,6,0,30.36,18,12,6,4,7
21006,1,7,2,6,48,-11,97,288,930,919,1027,41,28,60,2,13,0,29.91,0,14,12,6,8
19136,1,1,3,3,8,-4,397,2465,990,986,1207,38,22,53,15,18,26,29.82,16,9,8,4,5
10644,12,4,3,3,56,-7,409,2586,1180,1173,1409,39,33,79,15,15,0,29.55,0,14,12,4,9
11111,12,6,5,4,12,-2,128,541,695,693,823,45,30,57,12,14,0,30.04,16,14,6,3,6
11288,12,6,5,1,56,308,408,2586,980,1288,1208,45,30,56,8,26,35,30.05,17,10,12,4,5
9900,12,1,7,1,28,-7,380,2475,750,743,950,33,29,85,5,13,0,29.85,23,2,1,7,7
7238,11,22,5,4,28,-1,387,2475,1165,1164,1372,43,25,49,16,16,26,29.91,3,8,19,5,11
25245,1,21,2,4,56,2,414,2586,509,511,743,25,13,60,4,7,0,30.46,3,16,7,2,7
16257,12,23,1,3,6,121,75,266,455,576,530,42,35,76,13,10,0,30.16,3,10,12,1,6
17648,12,27,5,4,18,6,134,509,1045,1051,1179,50,45,83,13,10,0,30.13,16,9,6,8,12
6455,11,20,3,0,15,-5,101,213,929,924,1030,47,25,42,4,12,0,29.96,16,11,12,7,11
27676,1,28,2,4,33,-8,221,1182,960,952,1121,41,25,53,8,18,0,29.83,16,12,12,6,10
11433,12,7,6,1,12,-4,121,541,738,734,859,39,16,39,16,14,0,30.36,18,4,7,0,5
17331,12,26,4,4,58,-3,233,1598,1145,1142,1438,45,40,82,1,10,0,30.37,0,11,18,4,7
27523,1,28,2,4,40,-7,390,2454,480,473,690,39,27,62,8,17,0,29.82,16,17,20,3,10
18919,12,31,2,3,16,-3,286,1626,1202,1199,1368,43,39,86,12,10,0,29.63,0,12,8,5,13
21458,1,8,3,3,6,90,72,266,1402,52,34,28,8,43,8,21,0,30.42,19,0,0,1,2
3192,11,10,7,3,56,-8,390,2586,1309,1301,79,50,38,63,17,7,0,30.07,16,14,6,5,11
28423,1,30,4,4,52,-5,392,2446,1198,1193,1410,31,22,69,5,7,0,30.34,16,12,9,7,14
25220,1,21,2,4,32,-3,206,1029,475,472,621,25,13,60,4,7,0,30.46,3,17,19,5,9
19623,1,3,5,4,16,-1,292,1626,480,479,652,44,44,10,13,10,0,29.84,12,13,22,4,6
15056,12,19,4,0,37,-5,107,290,926,921,1033,26,10,51,16,18,24,30.36,3,15,15,4,8
2055,11,7,4,0,9,-5,75,184,835,830,910,57,45,64,17,14,0,30.03,0,10,7,6,17
5285,11,17,7,4,27,-3,354,2248,485,482,659,37,26,65,5,18,0,30.36,16,22,20,3,6
10306,12,3,2,3,56,-4,409,2586,1180,1176,1409,34,21,59,8,17,23,29.59,18,9,13,3,8
2376,11,8,5,3,4,-5,69,187,780,775,849,40,16,38,8,24,33,30.14,19,4,5,4,8
2724,11,9,6,3,10,-5,131,636,856,851,987,40,23,51,12,9,0,30.25,18,6,7,7,12
10591,12,4,3,3,54,108,141,718,886,994,1027,39,32,76,15,12,0,29.53,0,16,11,4,8
3499,11,11,1,4,16,17,289,1626,1185,1202,1354,56,54,93,9,13,0,29.89,16,15,8,7,17
24418,1,18,6,4,4,-6,82,187,470,464,552,21,6,53,6,5,0,30.59,0,12,25,6,7
26553,1,25,6,4,20,-8,190,1069,485,477,675,41,41,10,2,18,0,30.07,0,13,20,7,6
10610,12,4,3,3,60,39,379,2521,1019,1058,1218,39,32,76,17,12,0,29.53,16,9,6,4,7
