,TAXI_OUT
25643,25
13489,19
27541,15
27004,13
13857,21
535,36
14631,21
18482,26
10814,23
23368,21
12393,18
5872,38
25247,11
7188,18
15591,27
20955,13
14482,24
23229,16
26405,16
16110,24
26259,27
23764,12
20029,24
18811,20
26929,20
23841,18
27400,16
24081,18
9165,21
22501,28
4327,20
15952,16
15912,13
6372,16
12663,18
28448,18
22606,14
11384,14
3918,35
23767,16
6824,20
19499,33
17018,18
26297,20
21006,15
19136,23
10644,13
11111,18
11288,25
9900,39
7238,29
25245,15
16257,13
17648,15
6455,19
27676,37
11433,15
17331,25
27523,23
18919,19
21458,14
3192,14
28423,20
25220,20
19623,20
15056,22
2055,26
5285,32
10306,20
2376,16
2724,15
10591,16
3499,12
24418,19
26553,28
10610,15
8135,18
14251,21
16347,16
22961,19
4426,30
5897,19
15193,19
25295,24
19335,20
2406,14
1059,22
3292,25
7359,25
21944,16
1768,21
2410,25
27287,20
1772,20
19229,15
10399,20
391,16
19392,18
8150,14
20827,20
15872,16
5245,22
16287,20
5037,20
18110,19
14923,17
10266,25
19241,14
20559,29
21058,21
16241,15
20549,20
9526,20
3335,21
3556,15
15632,24
9280,15
17768,13
17439,25
14654,14
12785,16
3475,23
25908,13
6210,13
20717,12
11999,37
12818,25
22718,27
10958,27
20118,17
3869,21
7619,16
24400,17
22902,40
12666,15
26675,24
25626,13
25920,13
5759,14
15542,13
25415,16
20343,16
17546,10
25839,26
13345,23
18452,21
24520,32
1226,19
24617,22
1845,13
13619,21
19224,23
5685,18
16093,20
13826,22
18705,22
23380,17
3455,29
15627,18
21755,29
2110,18
11607,20
12175,21
21825,19
6695,20
22249,17
5102,27
12472,25
18422,18
1362,19
2445,14
1568,16
21402,40
20205,39
20945,16
22576,19
965,24
6721,18
3881,31
6064,17
8050,13
18921,37
19525,33
4077,16
23321,26
914,14
17261,20
10106,39
3968,41
15522,26
5476,18
6862,20
20064,25
26191,15
17281,13
11411,16
24765,27
13781,12
12777,31
17865,34
13390,23
24845,21
12678,19
7918,17
15463,28
8032,13
13464,30
13411,19
22370,29
4853,20
23348,15
21931,16
28685,23
10089,17
3434,18
12111,13
26099,15
4514,18
11616,15
19227,20
21790,28
4443,26
23239,22
1461,13
9551,23
21184,25
4674,15
14656,18
2421,18
8896,11
10150,32
7393,28
24049,13
16560,19
28069,17
3121,27
4660,20
27175,28
2885,13
16601,25
20952,17
13325,30
23972,33
27805,18
21001,23
10409,15
14245,22
20769,41
12564,15
10018,26
17471,36
4145,32
3793,18
11385,14
16504,18
14527,16
433,27
1246,16
1436,23
7024,26
14334,30
10959,41
4791,22
20788,18
19119,24
11369,12
11663,18
9305,19
17798,30
7974,31
19574,12
17031,27
25857,15
2630,20
9515,24
11475,12
14329,35
11453,15
6310,24
20368,27
26238,18
11118,16
6872,10
14405,17
2931,17
18787,10
6660,26
28178,22
10035,23
16931,20
4139,17
13328,15
24222,18
28274,18
27384,12
15779,22
22088,35
17292,13
12794,15
450,17
15395,21
17910,16
9106,17
14345,33
3084,16
72,14
14209,20
20006,32
27683,13
14826,18
21175,24
18807,19
12488,22
5919,23
14896,34
10613,27
13366,17
27501,16
22671,18
17419,16
16582,23
630,12
23269,15
12780,22
16748,26
16568,14
5639,17
19490,26
329,19
27773,25
10439,31
3377,13
27933,13
6546,19
7512,18
24515,34
22575,17
24470,18
17186,17
11917,22
15081,21
906,14
23731,21
17950,19
4991,14
7996,21
2230,20
27428,24
16840,27
23532,21
15419,28
4555,10
11086,14
20540,37
5812,37
20839,14
18116,31
8596,11
20087,16
5436,17
13217,21
10712,26
28764,31
14090,17
5324,14
16479,16
7962,17
25815,17
11159,17
2756,21
15738,19
8990,18
4568,22
17393,29
16175,26
18994,19
207,19
3358,29
9868,22
11920,23
18999,18
27864,7
14547,16
15626,20
9805,34
26421,19
28531,17
7166,23
20806,16
28646,20
6918,17
5614,17
15985,16
15922,12
16941,28
3974,15
20042,22
13904,20
28812,20
17211,19
8205,33
22805,18
26510,15
23978,21
25109,28
1195,32
19244,12
789,21
19322,17
9968,41
23638,17
25775,29
14097,10
6678,23
14938,24
13623,25
16224,29
18057,21
10146,32
3107,22
19488,26
1901,17
2836,23
13499,27
24568,29
15740,20
23245,21
14852,39
21997,21
13752,20
26027,24
8659,31
18433,24
24401,17
18845,14
11128,22
28773,24
5663,17
6591,21
12700,17
26650,19
22077,21
7318,19
7549,20
9278,18
595,20
3900,14
18058,19
21227,20
7101,14
4001,15
6437,14
9256,23
4057,14
15332,17
7173,40
17024,29
14185,13
16948,32
18384,34
865,20
18071,21
24754,36
9068,20
18379,30
16187,22
22446,21
2834,23
18535,16
20774,40
4475,28
16151,17
9436,14
8597,15
22273,23
13929,28
23397,15
5300,21
3129,16
5297,22
25657,28
3069,17
8434,18
11696,12
7356,18
21032,16
14164,21
12088,24
21362,24
20059,21
4415,24
7967,14
7045,18
11603,31
4802,22
20306,18
7617,13
3451,31
10751,16
28201,13
28729,23
19486,22
25479,23
9250,15
24020,40
20564,17
20846,15
6185,38
11659,16
15838,30
14188,15
2080,14
17659,30
165,23
171,26
13095,26
3190,29
4125,18
13538,33
19646,27
14388,18
18530,22
19296,11
5561,18
3927,35
14845,25
129,17
62,16
19552,22
27300,26
9208,20
6726,18
27919,26
20620,30
19578,20
11160,12
9992,40
14627,18
5299,12
4460,13
11265,32
23327,17
321,19
19073,23
18170,11
16916,31
5710,32
9843,13
27425,22
14581,16
19170,35
19629,25
12003,40
7367,14
16995,15
17548,18
17109,24
23011,11
24825,18
602,33
10031,28
27275,15
13600,18
26394,28
2120,33
26361,18
14459,12
19255,16
21158,35
13545,33
3075,11
26124,31
19108,19
13310,11
7401,15
17826,15
9449,21
22131,17
10857,20
23053,17
15814,33
22578,21
16711,21
19169,33
14831,26
27398,28
21138,32
27519,16
25597,12
5030,20
13166,16
3255,13
10892,29
12006,36
3470,32
14711,23
7403,16
14550,21
27401,13
13760,21
11608,17
229,22
1660,18
23188,20
26681,15
28148,19
1747,23
4558,28
18281,27
6249,13
16449,31
12945,26
2062,19
27651,25
16569,16
10381,15
18719,22
7925,22
13924,30
17207,23
26554,31
6585,19
6516,14
27786,17
7471,21
19872,16
20633,17
15238,18
13394,10
3440,12
5976,13
2718,24
16206,15
24822,13
25283,40
14095,16
14357,40
2281,15
20291,14
2905,22
12763,12
15697,24
20492,27
14496,15
17831,23
5453,30
6752,19
25773,21
15496,15
16892,17
23936,29
25979,10
24442,29
19805,14
20710,14
20954,12
25055,25
15714,33
4746,14
8744,14
18897,27
8128,17
4634,18
20725,35
10724,15
9932,36
22986,11
20357,23
25200,19
9885,18
1661,13
1844,15
25020,17
26856,22
22237,24
17574,15
9787,12
15585,12
14141,15
16211,15
16831,15
24395,18
18617,29
2614,19
26551,19
21963,23
20155,38
9337,21
20388,16
13813,21
18993,25
26009,14
13745,17
26634,13
5997,22
24950,19
842,16
15157,40
6766,12
9500,25
22017,15
22815,18
28697,13
12908,18
20908,14
24555,19
20068,16
6157,21
3845,22
4650,25
4292,31
25518,29
1630,16
20226,10
10408,24
9608,23
20659,12
21999,24
11699,18
8404,19
7000,13
5462,27
11516,24
19352,13
2779,22
24188,23
27752,22
27455,17
8213,22
19535,27
28209,18
18583,40
16646,26
28063,12
4420,14
349,15
24243,19
27730,16
950,30
3960,25
11256,26
720,19
2992,22
17450,22
821,14
15708,26
27465,19
4204,26
10914,34
7433,13
1613,23
6201,35
28317,18
8109,27
14134,12
4672,20
10404,15
17543,23
8425,14
6498,28
19883,24
12330,19
2507,23
3299,17
18536,15
22344,22
12062,24
12850,18
27846,19
21048,27
9854,20
3070,29
4691,17
11728,15
19931,41
23069,36
15446,20
556,28
4529,19
7192,22
15221,16
28590,18
14081,25
19236,19
5093,33
23600,24
6211,31
8553,17
28574,19
2591,19
25755,20
26833,15
17624,21
14382,27
20459,15
17159,15
6449,22
11643,22
22693,14
238,19
120,22
17581,19
18324,27
20046,19
14837,22
1551,17
25707,20
10401,17
23366,16
28285,24
24137,20
10033,22
4123,14
475,15
10341,18
18694,20
21763,20
763,13
17510,34
1684,16
13553,25
21543,24
9376,27
19121,17
6771,19
2471,25
15082,23
21290,13
3291,18
26633,16
9479,25
16025,28
6097,13
9542,16
7095,28
9630,30
3027,15
18283,22
22244,18
27112,20
24451,29
9327,22
4697,14
12955,18
1706,12
2769,18
7174,37
8901,16
670,15
20307,21
16203,14
8208,24
11186,17
24861,12
3022,19
23831,21
22513,22
10413,15
1821,17
5229,14
27171,35
10236,33
19813,15
10,26
20208,27
23100,26
11239,20
2167,37
16462,18
2163,22
19220,13
23510,18
25913,15
17721,15
1235,16
22684,23
11642,16
20975,22
5400,18
19238,15
12466,19
8368,27
23297,17
20080,41
5598,22
7938,22
6224,14
27363,11
15292,20
2007,20
24486,16
16133,32
4570,35
12532,36
25777,38
11472,13
14318,19
21361,21
22860,15
2784,19
