month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep_m,act_dep_m,sch_arr_m,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,25,3,1,4,-5,77,187,565,560,642,39,28,65,5,8,0,30.25,33,14
11,30,6,3,39,-1,181,1028,689,688,870,41,13,32,4,14,0,30.05,30,19
11,19,2,4,58,-5,234,1598,485,480,779,44,43,96,15,9,0,29.79,52,20
12,21,6,3,56,10,419,2586,929,939,1168,35,27,72,12,3,0,30.5,35,38
1,3,5,5,21,33,685,4983,600,633,985,44,44,10,13,6,0,29.83,22,22
1,19,7,1,2,-7,261,1521,665,658,866,45,30,56,16,21,29,29.74,17,22
11,8,5,4,28,3,382,2475,1015,1018,1217,35,13,40,7,17,0,30.24,33,36
1,10,5,1,28,-6,387,2475,660,654,867,45,39,80,17,9,0,30.52,19,21
11,19,2,4,30,-4,177,944,1175,1171,1352,45,35,68,4,6,0,29.87,38,29
12,26,4,6,48,-8,91,288,695,687,786,43,36,76,6,8,0,30.31,29,19
11,4,1,4,30,-1,180,944,929,928,1109,54,38,55,9,18,0,30.31,29,37
1,17,5,0,46,-5,89,273,895,890,984,30,-2,25,8,18,0,30.62,25,39
12,16,1,0,47,25,115,427,785,810,900,36,22,57,7,5,0,30.25,27,41
1,9,4,4,31,-1,205,1089,936,935,1141,32,8,37,3,3,0,30.72,28,38
1,17,5,1,17,5,254,1391,390,395,584,25,7,46,7,28,45,30.44,18,23
1,8,3,1,31,-6,201,1089,419,413,620,33,29,85,15,15,0,29.92,20,22
12,8,7,1,28,1,390,2475,1109,1110,1319,38,34,86,13,8,0,30.42,40,35
12,12,4,3,4,-3,69,187,783,780,852,35,8,33,0,0,0,30.7,28,44
1,29,3,4,28,-4,391,2475,820,816,1031,40,18,41,7,14,0,30.05,31,34
1,10,5,0,54,1,154,718,975,976,1129,46,41,83,9,7,0,30.46,32,32
12,17,2,4,64,3,186,1005,1169,1172,1355,34,33,96,7,8,0,29.7,41,31
1,11,6,1,12,33,125,541,723,756,848,55,51,86,9,25,32,30.17,18,27
11,27,3,3,7,-13,80,301,365,352,445,46,44,93,0,0,0,30.01,10,19
11,5,2,8,13,-5,128,483,1220,1215,1348,55,45,69,17,10,0,30.14,27,40
11,17,7,0,37,-5,88,290,580,575,668,39,28,65,6,23,28,30.34,32,21
11,8,5,4,28,0,375,2475,420,420,615,36,22,57,8,15,23,30.14,36,27
11,13,3,2,28,89,390,2475,450,539,660,29,9,43,7,22,31,30.33,53,19
11,1,5,3,51,29,193,1074,449,478,642,50,33,52,15,21,30,30.0,30,26
1,14,2,3,5,-8,228,1576,780,772,1068,46,37,71,1,7,0,30.23,19,30
11,15,5,4,28,32,381,2475,1289,1321,50,46,29,51,8,17,21,30.2,23,33
